lon,lat,nitrogen,phosphorus,potassium,ph,soil_type,timestamp,id,name,nepaliName,province,ecoZone,avgRainfallMm,solarRadiationKwh,baseSoilPh,laborRateNprPerDay,description
82.1183,29.2742,0.2,36.33,451.11,5.36,"Fluvial, calcareous",2025-07-23 02:12:52.940849,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1533,29.2342,0.21,58.69,468.88,6.12,"Gneiss, migmatite",2025-07-23 02:13:04.169704,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1483,29.2392,0.2,58.75,461.07,6.1,"Gneiss, migmatite",2025-07-23 02:13:06.020859,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1383,29.2492,0.19,56.84,483.43,5.95,"Fluvial, calcareous",2025-07-23 02:15:46.895011,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2542,0.2,40.24,408.19,5.7,"Fluvial, calcareous",2025-07-23 02:15:47.054005,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2433,29.2642,0.21,37.7,443.98,6.08,"Gneiss, migmatite",2025-07-23 02:15:47.385015,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1183,29.2692,0.2,50.64,445.64,5.62,"Gneiss, migmatite",2025-07-23 02:15:47.491917,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2483,29.2692,0.2,49.62,419.9,6.09,"Gneiss, migmatite",2025-07-23 02:15:47.577139,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1883,29.3392,0.2,87.87,362.21,6.5,"Gneiss, migmatite",2025-07-23 02:15:47.802073,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2083,29.3192,0.18,76.03,371.48,6.35,"Gneiss, migmatite",2025-07-23 02:15:48.354439,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2133,29.3142,0.19,70.26,389.85,5.99,"Gneiss, migmatite",2025-07-23 02:15:48.533045,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2233,29.3042,0.17,90.65,408.19,6.36,"Gneiss, migmatite",2025-07-23 02:15:48.838245,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2283,29.2992,0.18,70.35,420.73,6.12,"Gneiss, migmatite",2025-07-23 02:15:49.033171,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2942,0.19,39.76,441.75,5.35,"Gneiss, migmatite",2025-07-23 02:15:49.129280,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1233,29.2842,0.17,43.99,443.01,5.34,"Gneiss, migmatite",2025-07-23 02:15:49.389479,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1183,29.2792,0.17,49.54,443.66,5.7,"Gneiss, migmatite",2025-07-23 02:15:49.519060,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1133,29.2742,0.21,41.7,476.34,5.46,"Gneiss, migmatite",2025-07-23 02:15:49.648426,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1533,29.2292,0.23,55.62,466.57,6.12,"Gneiss, migmatite",2025-07-23 02:15:50.266496,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1483,29.2342,0.21,51.94,484.93,5.97,"Gneiss, migmatite",2025-07-23 02:15:50.394352,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1433,29.2392,0.18,48.28,439.25,5.94,"Gneiss, migmatite",2025-07-23 02:15:50.525132,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2492,0.19,40.75,402.25,5.98,"Fluvial, calcareous",2025-07-23 02:15:50.736285,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2333,29.2492,0.2,53.44,460.01,5.99,"Gneiss, migmatite",2025-07-23 02:15:50.818552,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1283,29.2542,0.23,81.6,518.84,5.7,"Gneiss, migmatite",2025-07-23 02:15:50.903749,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2383,29.2542,0.2,59.76,473.41,6.03,"Gneiss, migmatite",2025-07-23 02:15:50.994817,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1233,29.2592,0.19,57.42,447.87,5.84,"Gneiss, migmatite",2025-07-23 02:15:51.082352,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2433,29.2592,0.22,33.3,468.81,6.16,"Gneiss, migmatite",2025-07-23 02:15:51.165404,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2483,29.2642,0.22,37.62,446.6,5.99,"Gneiss, migmatite",2025-07-23 02:15:51.290912,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2533,29.2692,0.19,89.4,441.31,6.25,"Gneiss, migmatite",2025-07-23 02:15:51.418476,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1783,29.3442,0.21,78.79,404.25,6.64,"Gneiss, migmatite",2025-07-23 02:15:51.549318,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1883,29.3442,0.2,85.15,389.11,6.5,"Gneiss, migmatite",2025-07-23 02:15:51.634735,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1933,29.3392,0.2,87.06,342.91,6.5,"Gneiss, migmatite",2025-07-23 02:15:51.764232,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2083,29.3242,0.18,103.38,368.56,6.37,"Gneiss, migmatite",2025-07-23 02:15:52.078520,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2133,29.3192,0.2,52.57,382.54,5.76,"Gneiss, migmatite",2025-07-23 02:15:52.208047,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2233,29.3092,0.19,69.06,422.75,6.05,"Gneiss, migmatite",2025-07-23 02:15:52.432720,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2992,0.2,38.89,502.81,5.25,"Gneiss, migmatite",2025-07-23 02:15:52.606117,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2333,29.2992,0.18,92.07,422.04,6.21,"Gneiss, migmatite",2025-07-23 02:15:52.689975,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1283,29.2942,0.19,37.78,509.57,5.18,"Gneiss, migmatite",2025-07-23 02:15:52.772816,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1183,29.2842,0.2,41.48,519.73,5.25,"Gneiss, migmatite",2025-07-23 02:15:52.989735,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1133,29.2792,0.18,38.27,430.91,5.57,"Gneiss, migmatite",2025-07-23 02:15:53.120772,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1483,29.2292,0.22,43.67,456.59,6.1,"Fluvial, calcareous",2025-07-23 02:15:53.930275,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1433,29.2342,0.21,44.31,485.05,5.86,"Gneiss, migmatite",2025-07-23 02:15:54.061778,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1383,29.2392,0.2,70.59,439.54,6.29,"Gneiss, migmatite",2025-07-23 02:15:54.191869,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1283,29.2492,0.23,63.94,410.79,6.11,"Fluvial, calcareous",2025-07-23 02:15:54.408662,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2383,29.2492,0.23,37.14,496.17,6.08,"Gneiss, migmatite",2025-07-23 02:15:54.491177,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1233,29.2542,0.24,69.54,539.53,5.81,"Gneiss, migmatite",2025-07-23 02:15:54.574970,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1183,29.2592,0.19,63.83,468.77,5.79,"Gneiss, migmatite",2025-07-23 02:15:54.703930,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2483,29.2592,0.2,35.23,455.33,6.08,"Gneiss, migmatite",2025-07-23 02:15:54.790788,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1583,29.3292,0.2,89.79,411.94,5.93,"Gneiss, migmatite",2025-07-23 02:15:55.444345,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1533,29.3242,0.25,53.36,430.91,5.42,"Gneiss, migmatite",2025-07-23 02:15:55.571564,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2233,29.3142,0.18,67.26,398.22,6.31,"Gneiss, migmatite",2025-07-23 02:15:55.837693,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2333,29.3042,0.18,55.18,407.38,5.95,"Gneiss, migmatite",2025-07-23 02:15:56.052302,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1283,29.2992,0.2,38.92,463.44,5.33,"Gneiss, migmatite",2025-07-23 02:15:56.135026,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1433,29.2292,0.22,37.57,446.49,6.11,"Fluvial, calcareous",2025-07-23 02:15:57.373326,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1383,29.2342,0.21,43.6,437.24,6.03,"Gneiss, migmatite",2025-07-23 02:15:57.495978,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1333,29.2392,0.18,60.33,427.97,6.18,"Gneiss, migmatite",2025-07-23 02:15:57.624237,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2383,29.2442,0.23,54.75,518.52,5.96,"Gneiss, migmatite",2025-07-23 02:15:57.797217,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1233,29.2492,0.17,36.43,384.17,5.94,"Fluvial, calcareous",2025-07-23 02:15:57.890704,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2433,29.2492,0.22,38.9,480.44,6.04,"Gneiss, migmatite",2025-07-23 02:15:57.985552,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1183,29.2542,0.18,43.56,455.57,5.76,"Gneiss, migmatite",2025-07-23 02:15:58.077771,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2483,29.2542,0.21,67.31,486.04,6.11,"Gneiss, migmatite",2025-07-23 02:15:58.164118,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1133,29.2592,0.2,48.18,485.93,5.84,"Gneiss, migmatite",2025-07-23 02:15:58.250784,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.2533,29.2592,0.2,33.02,449.3,6.05,"Gneiss, migmatite",2025-07-23 02:15:58.336841,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
82.1083,29.2642,0.19,47.62,450.9,6.01,"Gneiss, migmatite",2025-07-23 02:15:58.425518,jumla,Jumla,जुम्ला,Karnali Province,Mountain,800,6.0,6.8,900,High-altitude organic Jumli Marsi red rice and sweet apple orchards.
80.5633,28.755,0.1,69.76,210.32,7.3,Fluvial non calcareous,2025-07-23 02:12:43.250582,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6033,28.755,0.09,33.89,224.38,7.46,Fluvial non calcareous,2025-07-23 02:12:44.093192,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5583,28.75,0.1,35.31,164.08,7.47,"Fluvial, calcareous",2025-07-23 02:12:45.057482,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6083,28.75,0.09,70.65,241.02,7.42,Fluvial non calcareous,2025-07-23 02:12:45.924060,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6133,28.745,0.09,65.85,235.85,7.42,Fluvial non calcareous,2025-07-23 02:12:47.647888,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6183,28.74,0.09,59.71,214.01,7.35,Fluvial non calcareous,2025-07-23 02:12:49.351609,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5433,28.735,0.1,50.26,169.39,7.41,Fluvial non calcareous,2025-07-23 02:12:50.180420,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6233,28.735,0.09,57.75,207.32,7.39,Fluvial non calcareous,2025-07-23 02:12:51.015117,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5383,28.73,0.11,30.97,127.97,7.54,Fluvial non calcareous,2025-07-23 02:12:51.957973,kanchanpur,Kanchanpur,कञ्चनपुर,Sudurpashchim Province,Terai,1750,5.4,7.0,690,"Shuklaphanta grassland border district rich in paddy, sugarcane, and timber."
80.5083,28.7,0.1,43.71,174.75,7.3,Fluvial non calcareous,2025-07-23 02:13:02.200132,kanchanpur,Kanchanpur,कञ्चनपुर,Sudurpashchim Province,Terai,1750,5.4,7.0,690,"Shuklaphanta grassland border district rich in paddy, sugarcane, and timber."
80.6133,28.65,0.08,30.07,166.44,7.18,Fluvial non calcareous,2025-07-23 02:13:03.926018,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6183,28.655,0.08,31.24,175.03,7.22,Fluvial non calcareous,2025-07-23 02:13:04.871190,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6233,28.66,0.07,28.55,160.91,7.04,Fluvial non calcareous,2025-07-23 02:13:05.807685,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6283,28.665,0.06,32.44,176.71,6.93,Fluvial non calcareous,2025-07-23 02:13:06.736114,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6333,28.67,0.07,29.33,190.16,7.01,Fluvial non calcareous,2025-07-23 02:15:08.924226,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6383,28.675,0.06,29.26,182.38,6.98,Fluvial non calcareous,2025-07-23 02:15:09.022827,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5183,28.685,0.09,36.55,130.92,7.3,Fluvial non calcareous,2025-07-23 02:15:09.146098,kanchanpur,Kanchanpur,कञ्चनपुर,Sudurpashchim Province,Terai,1750,5.4,7.0,690,"Shuklaphanta grassland border district rich in paddy, sugarcane, and timber."
80.5133,28.69,0.08,28.68,112.62,7.33,Fluvial non calcareous,2025-07-23 02:15:09.275227,kanchanpur,Kanchanpur,कञ्चनपुर,Sudurpashchim Province,Terai,1750,5.4,7.0,690,"Shuklaphanta grassland border district rich in paddy, sugarcane, and timber."
80.5833,28.78,0.09,55.27,210.96,7.45,Fluvial non calcareous,2025-07-23 02:15:09.490199,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5783,28.775,0.09,50.92,212.67,7.57,Fluvial non calcareous,2025-07-23 02:15:09.572398,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5883,28.775,0.09,70.28,216.96,7.52,Fluvial non calcareous,2025-07-23 02:16:00.916483,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5733,28.77,0.09,43.28,220.47,7.52,Fluvial non calcareous,2025-07-23 02:16:00.995756,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5933,28.77,0.09,83.54,253.56,7.56,Fluvial non calcareous,2025-07-23 02:16:01.085156,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5683,28.765,0.09,49.22,236.67,7.51,Fluvial non calcareous,2025-07-23 02:16:01.177173,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5983,28.765,0.09,70.39,228.32,7.41,Fluvial non calcareous,2025-07-23 02:16:01.255776,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5633,28.76,0.1,47.78,196.16,7.4,Fluvial non calcareous,2025-07-23 02:16:01.372324,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6033,28.76,0.09,59.98,220.75,7.45,Fluvial non calcareous,2025-07-23 02:16:01.451828,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.5583,28.755,0.1,61.71,190.52,7.36,"Fluvial, calcareous",2025-07-23 02:16:01.535185,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6083,28.755,0.09,47.9,225.36,7.41,Fluvial non calcareous,2025-07-23 02:16:01.641360,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6133,28.75,0.09,73.56,231.13,7.31,Fluvial non calcareous,2025-07-23 02:16:01.774242,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
80.6183,28.745,0.09,66.81,232.61,7.28,Fluvial non calcareous,2025-07-23 02:16:01.929367,kailali,Kailali,कैलाली,Sudurpashchim Province,Terai,1850,5.3,6.9,700,"Far-western Terai agricultural hub producing wheat, mustard, and rice."
